"species_code","date_added_on","tag_count"
"WTSP","2019-03-15","10753"
"HETH","2019-03-15","8048"
"WTSP","2019-03-14","6998"
"TEWA","2019-03-15","6926"
"SAVS","2019-03-15","6669"
"OVEN","2019-03-15","6280"
"WEME","2019-03-15","6258"
"CCSP","2019-03-15","5841"
"SWTH","2019-03-15","5714"
"HETH","2019-03-14","5662"
"LISP","2019-03-15","5628"
"YRWA","2019-03-15","5534"
"RWBL","2019-03-15","5466"
"CHSP","2019-03-15","5261"
"YRWA","2019-03-14","4936"
"REVI","2019-03-15","4820"
"TEWA","2019-03-14","4711"
"CHSP","2019-03-14","4470"
"RCKI","2019-03-14","4128"
"VESP","2019-03-15","4110"
"RCKI","2019-03-15","4105"
"OVEN","2019-03-14","3970"
"LCSP","2020-10-02","3791"
"WTSP","2020-10-02","3671"
"SWTH","2019-03-14","3654"
"TEWA","2020-10-02","3515"
"AMCR","2019-03-15","3440"
"LISP","2019-03-14","3294"
"ALFL","2019-03-15","3196"
"SAVS","2020-10-02","3186"
"WISN","2019-03-14","3106"
"CHSP","2020-10-02","2907"
"AMRO","2019-03-15","2872"
"AMRO","2020-10-02","2649"
"WISN","2019-03-15","2605"
"CANG","2019-03-15","2604"
"SWTH","2020-10-02","2510"
"DEJU","2019-03-15","2406"
"COYE","2019-03-15","2403"
"REVI","2019-03-14","2359"
"CCSP","2020-10-02","2343"
"LISP","2020-10-02","2226"
"CCSP","2019-03-14","2161"
"WISN","2020-10-02","2092"
"DEJU","2019-03-14","1996"
"LCSP","2019-03-15","1971"
"WIWR","2019-03-15","1920"
"PAWA","2019-03-14","1919"
"HETH","2020-10-02","1900"
"YRWA","2020-10-02","1878"
"SORA","2019-03-15","1847"
"VESP","2020-10-02","1844"
"YEWA","2019-03-15","1820"
"SWSP","2019-03-15","1808"
"AMRO","2019-03-14","1779"
"ALFL","2019-03-14","1720"
"NHWR","2019-03-15","1646"
"HOLA","2019-03-15","1616"
"RWBL","2020-10-02","1571"
"BBMA","2019-03-15","1551"
"OVEN","2020-10-02","1520"
"WEME","2020-10-02","1504"
"SWSP","2019-03-14","1500"
"NHWR","2020-10-02","1433"
"RWBL","2019-03-14","1395"
"SPPI","2019-03-15","1391"
"RNGR","2020-10-02","1386"
"COYE","2020-10-02","1364"
"PAWA","2019-03-15","1359"
"GRAJ","2019-03-15","1330"
"CORA","2019-03-15","1271"
"SOSP","2019-03-15","1266"
"BOOW","2020-10-02","1234"
"ALFL","2020-10-02","1199"
"SOSP","2019-03-14","1171"
"BHCO","2019-03-15","1137"
"CANG","2019-03-14","1134"
"GRAJ","2019-03-14","1126"
"LCSP","2019-03-14","1063"
"MAWA","2019-03-14","1058"
"TRES","2020-10-02","1057"
"REVI","2020-10-02","1047"
"LEFL","2019-03-15","1037"
"RWBL","2023-03-25","1031"
"WTSP","2024-11-04","1020"
"CORA","2019-03-14","1015"
"RCKI","2020-10-02","998"
"SAVS","2019-03-14","990"
"LEFL","2020-10-02","987"
"AMCR","2019-03-14","957"
"COYE","2019-03-14","945"
"RBGR","2019-03-15","902"
"WIWR","2019-03-14","843"
"CONI","2020-10-02","831"
"MAWA","2019-03-15","828"
"DEJU","2020-10-02","827"
